Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=122.ICP.M.U2.Y.000000.3.INX
,ICP.M.U2.Y.000000.3.INX
,"Euro area (changing composition) - HICP - Overall index, Monthly Index, European Central Bank, Working day and seasonally adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[2015 = 100]
,,obs. status,obs. comment
2011Jan,94.54,Normal value (A),Implementation of HICP Regulation No. 33/2009 on the treatment of seasonal products in the HICPs of DE, EE, GR, FR, IT, CY, LU, MT, PT, SI, SK. The Regulation had particularly large impacts on clothing and footwear and to a lesser extent fruit and vegetables. In addition, NL implemented a new methodology for package holidays and air transport. These changes have a distorting impact on the annual rates of change in 2011.  See Box 3 in the April 2011 ECB Monthly Bulletin for details.
2010Dec,94.07,Normal value (A),
2010Nov,93.76,Normal value (A),
2010Oct,93.57,Normal value (A),
2010Sep,93.41,Normal value (A),
2010Aug,93.31,Normal value (A),
2010Jul,93.22,Normal value (A),
2010Jun,93.09,Normal value (A),
2010May,93.02,Normal value (A),
2010Apr,92.96,Normal value (A),
2010Mar,92.65,Normal value (A),
2010Feb,92.34,Normal value (A),
2010Jan,92.30,Normal value (A),Implementation of HICP Regulation No. 33/2009 on the treatment of seasonal products in the Spanish HICP. Also reallocation of rented holiday apartments from COICOP accomodation services (11.2.0) to actual rentals (04.1.1) in the Spanish HICP.  These changes have a distorting impact on the annual rates of change in 2010.  See Box 3 in the April 2011 ECB Monthly Bulletin for details.
2009Dec,92.04,Normal value (A),
2009Nov,92.00,Normal value (A),
2009Oct,91.81,Normal value (A),
2009Sep,91.79,Normal value (A),
2009Aug,91.85,Normal value (A),
2009Jul,91.61,Normal value (A),
2009Jun,91.77,Normal value (A),
2009May,91.52,Normal value (A),
2009Apr,91.46,Normal value (A),
2009Mar,91.32,Normal value (A),
2009Feb,91.43,Normal value (A),
2009Jan,91.28,Normal value (A),
2008Dec,91.23,Normal value (A),
2008Nov,91.59,Normal value (A),
2008Oct,91.96,Normal value (A),
2008Sep,92.09,Normal value (A),
2008Aug,92.01,Normal value (A),
2008Jul,92.19,Normal value (A),
2008Jun,91.91,Normal value (A),
2008May,91.49,Normal value (A),
2008Apr,90.97,Normal value (A),
2008Mar,90.77,Normal value (A),
2008Feb,90.34,Normal value (A),
2008Jan,90.22,Normal value (A),Introduction of methodological changes to the German HICP including - new basket, updated of volume structure of the weights, introduction of explicit weights for outlets and implementation of regulation (EC) No 701/2006 on the temporal coverage of price collection in the HICP
2007Dec,89.82,Normal value (A),
2007Nov,89.70,Normal value (A),
2007Oct,89.15,Normal value (A),
2007Sep,88.86,Normal value (A),
2007Aug,88.66,Normal value (A),
2007Jul,88.58,Normal value (A),
2007Jun,88.40,Normal value (A),
2007May,88.27,Normal value (A),
2007Apr,88.08,Normal value (A),
2007Mar,87.70,Normal value (A),
2007Feb,87.52,Normal value (A),
2007Jan,87.38,Normal value (A),
2006Dec,87.15,Normal value (A),
2006Nov,87.05,Normal value (A),
2006Oct,86.96,Normal value (A),Introduction of regulation (EC) No 701/2006 on the temporal coverage of price collection in the HICP in Italy. Collection after October 2006 took place between the 1st and the 21st of the reference month. Until September 2006 the collection period was between the 16th of the previous month and the 15th of the reference month.
2006Sep,87.01,Normal value (A),
2006Aug,87.13,Normal value (A),
2006Jul,87.01,Normal value (A),
2006Jun,86.75,Normal value (A),
2006May,86.61,Normal value (A),
2006Apr,86.38,Normal value (A),
2006Mar,86.06,Normal value (A),
2006Feb,85.91,Normal value (A),
2006Jan,85.77,Normal value (A),
2005Dec,85.54,Normal value (A),
2005Nov,85.47,Normal value (A),
2005Oct,85.62,Normal value (A),
2005Sep,85.51,Normal value (A),
2005Aug,85.16,Normal value (A),
2005Jul,84.94,Normal value (A),
2005Jun,84.67,Normal value (A),
2005May,84.50,Normal value (A),
2005Apr,84.43,Normal value (A),
2005Mar,84.22,Normal value (A),
2005Feb,83.93,Normal value (A),
2005Jan,83.73,Normal value (A),
2004Dec,83.69,Normal value (A),
2004Nov,83.59,Normal value (A),
2004Oct,83.59,Normal value (A),
2004Sep,83.36,Normal value (A),
2004Aug,83.32,Normal value (A),
2004Jul,83.13,Normal value (A),
2004Jun,83.02,Normal value (A),
2004May,82.92,Normal value (A),
2004Apr,82.70,Normal value (A),
2004Mar,82.46,Normal value (A),
2004Feb,82.21,Normal value (A),
2004Jan,82.09,Normal value (A),
2003Dec,81.81,Normal value (A),
2003Nov,81.78,Normal value (A),
2003Oct,81.69,Normal value (A),
2003Sep,81.63,Normal value (A),
2003Aug,81.41,Normal value (A),
2003Jul,81.23,Normal value (A),
2003Jun,81.08,Normal value (A),
2003May,80.95,Normal value (A),
2003Apr,81.00,Normal value (A),
2003Mar,81.09,Normal value (A),
2003Feb,80.86,Normal value (A),
2003Jan,80.62,Normal value (A),
2002Dec,80.23,Normal value (A),
2002Nov,80.10,Normal value (A),
2002Oct,80.09,Normal value (A),
2002Sep,79.97,Normal value (A),
2002Aug,79.81,Normal value (A),
2002Jul,79.68,Normal value (A),
2002Jun,79.51,Normal value (A),
2002May,79.49,Normal value (A),
2002Apr,79.42,Normal value (A),
2002Mar,79.19,Normal value (A),
2002Feb,79.01,Normal value (A),
2002Jan,78.92,Normal value (A),
2001Dec,78.42,Normal value (A),
2001Nov,78.32,Normal value (A),
2001Oct,78.32,Normal value (A),
2001Sep,78.32,Normal value (A),
2001Aug,78.14,Normal value (A),
2001Jul,78.09,Normal value (A),
2001Jun,78.04,Normal value (A),
2001May,77.91,Normal value (A),
2001Apr,77.57,Normal value (A),
2001Mar,77.28,Normal value (A),
2001Feb,77.11,Normal value (A),
2001Jan,76.88,Normal value (A),Introduction of harmonised treatment of price reductions in Spain and Italy as of Jan01
2000Dec,76.93,Normal value (A),
2000Nov,77.03,Normal value (A),
2000Oct,76.80,Normal value (A),
2000Sep,76.75,Normal value (A),
2000Aug,76.38,Normal value (A),
2000Jul,76.23,Normal value (A),
2000Jun,76.13,Normal value (A),
2000May,75.84,Normal value (A),
2000Apr,75.73,Normal value (A),
2000Mar,75.75,Normal value (A),
2000Feb,75.57,Normal value (A),
2000Jan,75.45,Normal value (A),Introduction of harmonised treatment of price reductions in Belgium as of Jan00
1999Dec,75.35,Normal value (A),
1999Nov,75.13,Normal value (A),
1999Oct,75.02,Normal value (A),
1999Sep,74.89,Normal value (A),
1999Aug,74.80,Normal value (A),
1999Jul,74.66,Normal value (A),
1999Jun,74.50,Normal value (A),
1999May,74.48,Normal value (A),
1999Apr,74.50,Normal value (A),
1999Mar,74.21,Normal value (A),
1999Feb,74.07,Normal value (A),
1999Jan,74.03,Normal value (A),Introduction of harmonised treatment of price reductions in Luxembourg as of Jan99
1998Dec,74.04,Normal value (A),
1998Nov,74.05,Normal value (A),
1998Oct,74.04,Normal value (A),
1998Sep,74.01,Normal value (A),
1998Aug,73.97,Normal value (A),
1998Jul,73.90,Normal value (A),
1998Jun,73.87,Normal value (A),
1998May,73.81,Normal value (A),
1998Apr,73.71,Normal value (A),
1998Mar,73.57,Normal value (A),
1998Feb,73.56,Normal value (A),
1998Jan,73.52,Normal value (A),Introduction of harmonised treatment of price reductions in Portugal as of Jan98
1997Dec,73.55,Normal value (A),
1997Nov,73.51,Normal value (A),
1997Oct,73.41,Normal value (A),
1997Sep,73.34,Normal value (A),
1997Aug,73.23,Normal value (A),
1997Jul,73.01,Normal value (A),
1997Jun,72.91,Normal value (A),
1997May,72.87,Normal value (A),
1997Apr,72.76,Normal value (A),
1997Mar,72.77,Normal value (A),
1997Feb,72.80,Normal value (A),
1997Jan,72.82,Normal value (A),
